LoadBalancer_Name,DNS_Name,State,VPC_ID,Availability_Zones,Type,Date_Created
"AU-PS-ECS-API-NLB","AU-PS-ECS-API-NLB-3d1fedd96c8693d4.elb.ap-southeast-2.amazonaws.com","active","vpc-043c2e2ef5009927f","ap-southeast-2a;ap-southeast-2b","network","2023-01-09T05:09:46.803000+00:00"
"AU-PERF-ECS-API-NLB","AU-PERF-ECS-API-NLB-5376abc1c31f3466.elb.ap-southeast-2.amazonaws.com","active","vpc-043c2e2ef5009927f","ap-southeast-2b;ap-southeast-2a;ap-southeast-2c","network","2022-08-24T07:50:29.817000+00:00"
"AU-UAT-ECS-API-NLB","AU-UAT-ECS-API-NLB-af3bc8214fd3be5f.elb.ap-southeast-2.amazonaws.com","active","vpc-043c2e2ef5009927f","ap-southeast-2a;ap-southeast-2b","network","2022-09-16T10:36:26.248000+00:00"
"AU-DEV-ECS-API-NLB","AU-DEV-ECS-API-NLB-bb1a05485ca627c6.elb.ap-southeast-2.amazonaws.com","active","vpc-043c2e2ef5009927f","ap-southeast-2b;ap-southeast-2a","network","2022-11-14T10:47:03.991000+00:00"
"AU-PPD-ECS-API-NLB","AU-PPD-ECS-API-NLB-d185bcca330d32a1.elb.ap-southeast-2.amazonaws.com","active","vpc-043c2e2ef5009927f","ap-southeast-2a;ap-southeast-2b","network","2022-11-15T05:51:31.754000+00:00"
"AU-DEVHUB-ECS-API-NLB","AU-DEVHUB-ECS-API-NLB-deb7a014714bc46a.elb.ap-southeast-2.amazonaws.com","active","vpc-043c2e2ef5009927f","ap-southeast-2b;ap-southeast-2a","network","2023-06-23T08:33:15.746000+00:00"
"AU-PERF-ECS-API-ELB","internal-AU-PERF-ECS-API-ELB-1732174822.ap-southeast-2.elb.amazonaws.com","active","vpc-043c2e2ef5009927f","ap-southeast-2a;ap-southeast-2b;ap-southeast-2c","application","2022-09-02T09:40:34.450000+00:00"
"AU-PERF-CES-ALB","internal-AU-PERF-CES-ALB-1576309706.ap-southeast-2.elb.amazonaws.com","active","vpc-043c2e2ef5009927f","ap-southeast-2a;ap-southeast-2b","application","2022-09-02T13:46:28.430000+00:00"
"AU-UAT-ECS-API-ELB","internal-AU-UAT-ECS-API-ELB-1165164513.ap-southeast-2.elb.amazonaws.com","active","vpc-043c2e2ef5009927f","ap-southeast-2a;ap-southeast-2b;ap-southeast-2c","application","2022-09-14T13:02:01.750000+00:00"
"AU-UAT-ECS-EMR-API-ELB","internal-AU-UAT-ECS-EMR-API-ELB-1249197670.ap-southeast-2.elb.amazonaws.com","active","vpc-0ccab8260106e982e","ap-southeast-2b;ap-southeast-2c;ap-southeast-2a","application","2022-09-16T10:19:51.780000+00:00"
"AU-UAT-CES-ALB","internal-AU-UAT-CES-ALB-1584931154.ap-southeast-2.elb.amazonaws.com","active","vpc-043c2e2ef5009927f","ap-southeast-2a;ap-southeast-2b","application","2022-09-16T10:48:56.210000+00:00"
"AU-DEV-ECS-API-ELB","internal-AU-DEV-ECS-API-ELB-69754959.ap-southeast-2.elb.amazonaws.com","active","vpc-043c2e2ef5009927f","ap-southeast-2a;ap-southeast-2b;ap-southeast-2c","application","2022-11-14T07:57:21.230000+00:00"
