LoadBalancer_Name,DNS_Name,State,VPC_ID,Availability_Zones,Type,Date_Created
"iexuat01awsb2b-farm-nlb","iexuat01awsb2b-farm-nlb-c2819053e8728212.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2b;ap-southeast-2c","network","2022-07-07T09:03:05.840000+00:00"
"gen-farm-nlb","gen-farm-nlb-c3f060ca76ef74b2.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2a;ap-southeast-2b","network","2022-09-13T12:06:55.122000+00:00"
"api-int-nlb","api-int-nlb-d463a69c8925381b.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2a;ap-southeast-2b","network","2022-07-07T09:23:00.126000+00:00"
"api-uat-int-nlb","api-uat-int-nlb-d86290b030757e5a.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2c;ap-southeast-2b","network","2022-09-05T09:33:02.456000+00:00"
"b2b-uat-farm-nlb","b2b-uat-farm-nlb-d9cc2a641ec141a2.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2b;ap-southeast-2c","network","2022-09-19T06:49:37.705000+00:00"
"api-uat-nlb","api-uat-nlb-e1ea3012b59864e3.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2c;ap-southeast-2b","network","2022-09-12T08:38:02.554000+00:00"
"iexuat01tolb2b-farm-nlb","iexuat01tolb2b-farm-nlb-e9335f65cf0a5938.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2c;ap-southeast-2b","network","2022-07-07T09:03:05.891000+00:00"
"iexprd01mft-farm-nlb","iexprd01mft-farm-nlb-fca7a66bfec1fae8.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2a;ap-southeast-2b","network","2022-07-07T09:23:00.088000+00:00"
"IBM-ISV-Gateway-ALB-Test","IBM-ISV-Gateway-ALB-Test-1830464201.ap-southeast-2.elb.amazonaws.com","active","vpc-06e884891c7e928e1","ap-southeast-2c;ap-southeast-2b;ap-southeast-2a","application","2022-12-06T07:39:29.510000+00:00"
"IBM-ISV-Gateway-ALB","IBM-ISV-Gateway-ALB-1986190195.ap-southeast-2.elb.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2c;ap-southeast-2b;ap-southeast-2a","application","2022-12-08T07:22:22.890000+00:00"
"api-uat-alb","api-uat-alb-1094885272.ap-southeast-2.elb.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2c;ap-southeast-2b","application","2023-02-20T01:33:25.850000+00:00"
"TGE-PwdReset-ALB-Test","internal-TGE-PwdReset-ALB-Test-66176193.ap-southeast-2.elb.amazonaws.com","active","vpc-06e884891c7e928e1","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","application","2023-11-02T05:46:17.180000+00:00"
"Precom-WebM-PROD","internal-Precom-WebM-PROD-1819114206.ap-southeast-2.elb.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2b;ap-southeast-2a;ap-southeast-2c","application","2024-01-10T06:05:20.550000+00:00"
"kodakinfuse-prod","internal-kodakinfuse-prod-29559944.ap-southeast-2.elb.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2b;ap-southeast-2a;ap-southeast-2c","application","2024-02-09T00:10:50.550000+00:00"
"IBM-ISV-Gateway-ALB-Test-Private","internal-IBM-ISV-Gateway-ALB-Test-Private-678334258.ap-southeast-2.elb.amazonaws.com","active","vpc-06e884891c7e928e1","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","application","2024-08-09T07:33:32.490000+00:00"
"IBM-ISV-Gateway-ALB-Private","internal-IBM-ISV-Gateway-ALB-Private-1789993174.ap-southeast-2.elb.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2b;ap-southeast-2a;ap-southeast-2c","application","2024-08-30T10:39:30.100000+00:00"
