LoadBalancer_Name,DNS_Name,State,VPC_ID,Availability_Zones,Type,Date_Created
"TollWorks-Reporting-NLB","TollWorks-Reporting-NLB-094d0e7daa1f4ed2.elb.ap-southeast-2.amazonaws.com","active","vpc-02993da03751f1497","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","network","2025-02-20T18:56:58.606000+00:00"
"TollWorks-APP-NLB","TollWorks-APP-NLB-934bbf4323437e16.elb.ap-southeast-2.amazonaws.com","active","vpc-02993da03751f1497","ap-southeast-2b;ap-southeast-2c;ap-southeast-2a","network","2025-02-20T17:37:32.351000+00:00"
"ILFTLoadBalancer-NLB","ILFTLoadBalancer-NLB-9ef7351bc3248a17.elb.ap-southeast-2.amazonaws.com","active","vpc-02993da03751f1497","ap-southeast-2a;ap-southeast-2b;ap-southeast-2c","network","2025-06-24T06:32:12.996000+00:00"
"ILFT-PROD-ALB","ILFT-PROD-ALB-1754035880.ap-southeast-2.elb.amazonaws.com","active","vpc-02993da03751f1497","ap-southeast-2a;ap-southeast-2b;ap-southeast-2c","application","2023-07-18T05:55:53.200000+00:00"
"tw-app-prod-alb","internal-tw-app-prod-alb-883171347.ap-southeast-2.elb.amazonaws.com","active","vpc-02993da03751f1497","ap-southeast-2a;ap-southeast-2b","application","2023-08-21T14:35:44.640000+00:00"
"TollWorks-APP-ALB","internal-TollWorks-APP-ALB-843918342.ap-southeast-2.elb.amazonaws.com","active","vpc-02993da03751f1497","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","application","2025-02-20T17:37:32.439000+00:00"
"TollWorks-Reporting-ALB","internal-TollWorks-Reporting-ALB-689978443.ap-southeast-2.elb.amazonaws.com","active","vpc-02993da03751f1497","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","application","2025-02-20T18:56:58.688000+00:00"
"ILFTLoadBalancer-ALB","internal-ILFTLoadBalancer-ALB-1225883866.ap-southeast-2.elb.amazonaws.com","active","vpc-02993da03751f1497","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","application","2025-06-24T06:35:13.093000+00:00"
"ProdILFTLoadBalancer","internal-ProdILFTLoadBalancer-1656411728.ap-southeast-2.elb.amazonaws.com","active","vpc-02993da03751f1497","ap-southeast-2b;ap-southeast-2a;ap-southeast-2c","classic","2023-05-13T16:20:37.230000+00:00"
"ProdPODLoadBalancer","internal-ProdPODLoadBalancer-779658049.ap-southeast-2.elb.amazonaws.com","active","vpc-02993da03751f1497","ap-southeast-2b;ap-southeast-2a;ap-southeast-2c","classic","2023-05-13T16:43:53.960000+00:00"
