LoadBalancer_Name,DNS_Name,State,VPC_ID,Availability_Zones,Type,Date_Created
"AU-PROD-ECS-API-NLB","AU-PROD-ECS-API-NLB-aa884e04a8909207.elb.ap-southeast-2.amazonaws.com","active","vpc-07380861fab72886a","ap-southeast-2c;ap-southeast-2b;ap-southeast-2a","network","2022-10-31T10:33:30.059000+00:00"
"AU-PROD-AXASM-NLB","AU-PROD-AXASM-NLB-d0b87628c669cd98.elb.ap-southeast-2.amazonaws.com","active","vpc-07380861fab72886a","ap-southeast-2a;ap-southeast-2b","network","2022-11-03T11:35:46.600000+00:00"
"AU-PROD-ECS-API-ELB","internal-AU-PROD-ECS-API-ELB-431797524.ap-southeast-2.elb.amazonaws.com","active","vpc-07380861fab72886a","ap-southeast-2c;ap-southeast-2b;ap-southeast-2a","application","2022-11-03T13:03:14.500000+00:00"
"AU-PROD-CES-ALB","internal-AU-PROD-CES-ALB-1208307.ap-southeast-2.elb.amazonaws.com","active","vpc-07380861fab72886a","ap-southeast-2b;ap-southeast-2a","application","2022-11-04T07:49:25.270000+00:00"
"AU-PROD-ECS-EMR-API-ELB","internal-AU-PROD-ECS-EMR-API-ELB-1226979227.ap-southeast-2.elb.amazonaws.com","active","vpc-069f05eb431814369","ap-southeast-2c;ap-southeast-2b;ap-southeast-2a","application","2022-12-16T10:51:06.790000+00:00"
"CIP-PRV-PROD-ECS-API-ELB","internal-CIP-PRV-PROD-ECS-API-ELB-1063823236.ap-southeast-2.elb.amazonaws.com","active","vpc-07800e48f3c1894dd","ap-southeast-2a;ap-southeast-2b","application","2024-08-09T10:55:22.270000+00:00"
"AU-PROD-ASM-ALB","internal-AU-PROD-ASM-ALB-270991063.ap-southeast-2.elb.amazonaws.com","active","vpc-07380861fab72886a","ap-southeast-2b;ap-southeast-2a","application","2024-10-17T14:22:16.730000+00:00"
"AU-PROD-ADS-ALB","internal-AU-PROD-ADS-ALB-106016783.ap-southeast-2.elb.amazonaws.com","active","vpc-07380861fab72886a","ap-southeast-2b;ap-southeast-2a","application","2024-10-17T15:55:38.760000+00:00"
"CIP-PUB-PROD-ECS-API-ELB","CIP-PUB-PROD-ECS-API-ELB-1363681330.ap-southeast-2.elb.amazonaws.com","active","vpc-07800e48f3c1894dd","ap-southeast-2b;ap-southeast-2a","application","2024-10-18T12:03:28.430000+00:00"
"CIP-MIG-PRV-PROD-ECS-API-ELB","internal-CIP-MIG-PRV-PROD-ECS-API-ELB-813346489.ap-southeast-2.elb.amazonaws.com","active","vpc-07800e48f3c1894dd","ap-southeast-2a;ap-southeast-2b;ap-southeast-2c","application","2025-03-28T09:35:38.219000+00:00"
"CIP-ZIP-MIG-PRV-PROD-ECS-API-ELB","internal-CIP-ZIP-MIG-PRV-PROD-ECS-API-ELB-1799845053.ap-southeast-2.elb.amazonaws.com","active","vpc-07800e48f3c1894dd","ap-southeast-2a;ap-southeast-2b;ap-southeast-2c","application","2025-03-28T09:40:38.879000+00:00"
"CIP-MIG-TAR-PRV-PROD-ECS-API-ELB","internal-CIP-MIG-TAR-PRV-PROD-ECS-API-ELB-1906626434.ap-southeast-2.elb.amazonaws.com","active","vpc-07800e48f3c1894dd","ap-southeast-2a;ap-southeast-2b;ap-southeast-2c","application","2025-05-06T10:41:46.556000+00:00"
"CIP-TAR-MIG-PRV-PROD-ECS-API-ELB","internal-CIP-TAR-MIG-PRV-PROD-ECS-API-ELB-1502416424.ap-southeast-2.elb.amazonaws.com","active","vpc-07800e48f3c1894dd","ap-southeast-2a;ap-southeast-2b;ap-southeast-2c","application","2025-05-06T10:57:46.643000+00:00"
