LoadBalancer_Name,DNS_Name,State,VPC_ID,Availability_Zones,Type,Date_Created
"TEDLBAWST03","TEDLBAWST03-1bd5706ff4d1a528.elb.ap-southeast-2.amazonaws.com","active","vpc-090dc71b95ea344a3","ap-southeast-2a;ap-southeast-2b","network","2023-11-15T01:00:11.760000+00:00"
"TEDLBAWSU03","TEDLBAWSU03-52f66464975e453c.elb.ap-southeast-2.amazonaws.com","active","vpc-090dc71b95ea344a3","ap-southeast-2b;ap-southeast-2a","network","2023-11-15T01:01:33.358000+00:00"
"TDALBAUD001","TDALBAUD001-1336198717.ap-southeast-2.elb.amazonaws.com","active","vpc-090dc71b95ea344a3","ap-southeast-2a;ap-southeast-2b","application","2022-08-03T02:00:04.270000+00:00"
"TDALBAUT011","TDALBAUT011-1136396572.ap-southeast-2.elb.amazonaws.com","active","vpc-090dc71b95ea344a3","ap-southeast-2a;ap-southeast-2b","application","2022-08-11T00:09:32.780000+00:00"
"TDALBAUU031","TDALBAUU031-1134591428.ap-southeast-2.elb.amazonaws.com","active","vpc-090dc71b95ea344a3","ap-southeast-2a;ap-southeast-2b","application","2022-08-11T00:14:28.290000+00:00"
"idam-mock","internal-idam-mock-1553263264.ap-southeast-2.elb.amazonaws.com","active","vpc-090dc71b95ea344a3","ap-southeast-2a;ap-southeast-2b","application","2023-03-10T00:18:02.870000+00:00"
"TEDLBAWST02","internal-TEDLBAWST02-1435434019.ap-southeast-2.elb.amazonaws.com","active","vpc-090dc71b95ea344a3","ap-southeast-2a;ap-southeast-2b","application","2023-11-15T01:00:11.640000+00:00"
"TEDLBAWST04","internal-TEDLBAWST04-3799613.ap-southeast-2.elb.amazonaws.com","active","vpc-090dc71b95ea344a3","ap-southeast-2a;ap-southeast-2b","application","2023-11-15T01:00:11.720000+00:00"
"TEDLBAWST01","TEDLBAWST01-566085476.ap-southeast-2.elb.amazonaws.com","active","vpc-090dc71b95ea344a3","ap-southeast-2a;ap-southeast-2b","application","2023-11-15T01:00:11.920000+00:00"
"TEDLBAWSU04","internal-TEDLBAWSU04-43423809.ap-southeast-2.elb.amazonaws.com","active","vpc-090dc71b95ea344a3","ap-southeast-2a;ap-southeast-2b","application","2023-11-15T01:01:32.180000+00:00"
"TEDLBAWSU01","TEDLBAWSU01-394796045.ap-southeast-2.elb.amazonaws.com","active","vpc-090dc71b95ea344a3","ap-southeast-2a;ap-southeast-2b","application","2023-11-15T01:01:32.290000+00:00"
"TEDLBAWSU02","internal-TEDLBAWSU02-1358840188.ap-southeast-2.elb.amazonaws.com","active","vpc-090dc71b95ea344a3","ap-southeast-2a;ap-southeast-2b","application","2023-11-15T01:01:32.680000+00:00"
"TEDLBAWSD01","TEDLBAWSD01-1314112806.ap-southeast-2.elb.amazonaws.com","active","vpc-090dc71b95ea344a3","ap-southeast-2a;ap-southeast-2b","application","2023-11-15T01:40:25.130000+00:00"
"TEDLBAWSD02","internal-TEDLBAWSD02-1133540178.ap-southeast-2.elb.amazonaws.com","active","vpc-090dc71b95ea344a3","ap-southeast-2c;ap-southeast-2a;ap-southeast-2b","application","2024-02-13T23:07:04.640000+00:00"
"TEDLBAWST05","internal-TEDLBAWST05-980794900.ap-southeast-2.elb.amazonaws.com","active","vpc-090dc71b95ea344a3","ap-southeast-2c;ap-southeast-2a;ap-southeast-2b","application","2024-03-14T03:54:10.310000+00:00"
"TEDLBAWSU05","internal-TEDLBAWSU05-1519660594.ap-southeast-2.elb.amazonaws.com","active","vpc-090dc71b95ea344a3","ap-southeast-2c;ap-southeast-2a;ap-southeast-2b","application","2024-03-14T03:55:40.010000+00:00"
