Account_ID,LoadBalancer_Name,DNS_Name,State,VPC_ID,Availability_Zones,Type,Date_Created
302791467987,"IBM-ISV-Gateway-OrderMTS-DevNLB","IBM-ISV-Gateway-OrderMTS-DevNLB-16e190bc6e1c7f15.elb.ap-southeast-2.amazonaws.com","active","vpc-085929e99d8c63968","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","network","2024-09-16T06:06:48.487000+00:00"
302791467987,"TF-NP-NLB-2","TF-NP-NLB-2-2d626de96bc87146.elb.ap-southeast-2.amazonaws.com","active","vpc-085929e99d8c63968","ap-southeast-2c;ap-southeast-2a;ap-southeast-2b","network","2025-02-26T03:33:34.987000+00:00"
302791467987,"IBM-ISV-Gateway-MTS-DevNLB","IBM-ISV-Gateway-MTS-DevNLB-6039d7873b3f9dbb.elb.ap-southeast-2.amazonaws.com","active","vpc-085929e99d8c63968","ap-southeast-2b;ap-southeast-2a;ap-southeast-2c","network","2024-09-16T06:05:43.421000+00:00"
302791467987,"webm-perf-backend","webm-perf-backend-8236ef21f95beb8d.elb.ap-southeast-2.amazonaws.com","active","vpc-085929e99d8c63968","ap-southeast-2b;ap-southeast-2a","network","2023-12-14T12:06:56.254000+00:00"
302791467987,"Precom-WebM-UAT","internal-Precom-WebM-UAT-248834327.ap-southeast-2.elb.amazonaws.com","active","vpc-085929e99d8c63968","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","application","2023-12-29T10:41:05.180000+00:00"
302791467987,"Precom-WebM-PERF","internal-Precom-WebM-PERF-679947650.ap-southeast-2.elb.amazonaws.com","active","vpc-085929e99d8c63968","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","application","2024-01-05T14:11:58.520000+00:00"
302791467987,"kodak-infuse-nonprod","internal-kodak-infuse-nonprod-1643003081.ap-southeast-2.elb.amazonaws.com","active","vpc-085929e99d8c63968","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","application","2024-02-06T00:21:51.470000+00:00"
394128373775,"SQLMatic","internal-SQLMatic-1910921802.ap-southeast-2.elb.amazonaws.com","active","vpc-0af048783cf08920e","ap-southeast-2c;ap-southeast-2a;ap-southeast-2b","application","2025-08-14T00:03:17.818000+00:00"
502966642495,"AU-PROD-ECS-API-NLB","AU-PROD-ECS-API-NLB-aa884e04a8909207.elb.ap-southeast-2.amazonaws.com","active","vpc-07380861fab72886a","ap-southeast-2c;ap-southeast-2b;ap-southeast-2a","network","2022-10-31T10:33:30.059000+00:00"
502966642495,"AU-PROD-AXASM-NLB","AU-PROD-AXASM-NLB-d0b87628c669cd98.elb.ap-southeast-2.amazonaws.com","active","vpc-07380861fab72886a","ap-southeast-2a;ap-southeast-2b","network","2022-11-03T11:35:46.600000+00:00"
502966642495,"AU-PROD-ECS-API-ELB","internal-AU-PROD-ECS-API-ELB-431797524.ap-southeast-2.elb.amazonaws.com","active","vpc-07380861fab72886a","ap-southeast-2c;ap-southeast-2b;ap-southeast-2a","application","2022-11-03T13:03:14.500000+00:00"
502966642495,"AU-PROD-CES-ALB","internal-AU-PROD-CES-ALB-1208307.ap-southeast-2.elb.amazonaws.com","active","vpc-07380861fab72886a","ap-southeast-2b;ap-southeast-2a","application","2022-11-04T07:49:25.270000+00:00"
502966642495,"AU-PROD-ECS-EMR-API-ELB","internal-AU-PROD-ECS-EMR-API-ELB-1226979227.ap-southeast-2.elb.amazonaws.com","active","vpc-069f05eb431814369","ap-southeast-2c;ap-southeast-2b;ap-southeast-2a","application","2022-12-16T10:51:06.790000+00:00"
502966642495,"CIP-PRV-PROD-ECS-API-ELB","internal-CIP-PRV-PROD-ECS-API-ELB-1063823236.ap-southeast-2.elb.amazonaws.com","active","vpc-07800e48f3c1894dd","ap-southeast-2a;ap-southeast-2b","application","2024-08-09T10:55:22.270000+00:00"
502966642495,"AU-PROD-ASM-ALB","internal-AU-PROD-ASM-ALB-270991063.ap-southeast-2.elb.amazonaws.com","active","vpc-07380861fab72886a","ap-southeast-2b;ap-southeast-2a","application","2024-10-17T14:22:16.730000+00:00"
502966642495,"AU-PROD-ADS-ALB","internal-AU-PROD-ADS-ALB-106016783.ap-southeast-2.elb.amazonaws.com","active","vpc-07380861fab72886a","ap-southeast-2b;ap-southeast-2a","application","2024-10-17T15:55:38.760000+00:00"
502966642495,"CIP-PUB-PROD-ECS-API-ELB","CIP-PUB-PROD-ECS-API-ELB-1363681330.ap-southeast-2.elb.amazonaws.com","active","vpc-07800e48f3c1894dd","ap-southeast-2b;ap-southeast-2a","application","2024-10-18T12:03:28.430000+00:00"
502966642495,"CIP-MIG-PRV-PROD-ECS-API-ELB","internal-CIP-MIG-PRV-PROD-ECS-API-ELB-813346489.ap-southeast-2.elb.amazonaws.com","active","vpc-07800e48f3c1894dd","ap-southeast-2a;ap-southeast-2b;ap-southeast-2c","application","2025-03-28T09:35:38.219000+00:00"
502966642495,"CIP-ZIP-MIG-PRV-PROD-ECS-API-ELB","internal-CIP-ZIP-MIG-PRV-PROD-ECS-API-ELB-1799845053.ap-southeast-2.elb.amazonaws.com","active","vpc-07800e48f3c1894dd","ap-southeast-2a;ap-southeast-2b;ap-southeast-2c","application","2025-03-28T09:40:38.879000+00:00"
502966642495,"CIP-MIG-TAR-PRV-PROD-ECS-API-ELB","internal-CIP-MIG-TAR-PRV-PROD-ECS-API-ELB-1906626434.ap-southeast-2.elb.amazonaws.com","active","vpc-07800e48f3c1894dd","ap-southeast-2a;ap-southeast-2b;ap-southeast-2c","application","2025-05-06T10:41:46.556000+00:00"
502966642495,"CIP-TAR-MIG-PRV-PROD-ECS-API-ELB","internal-CIP-TAR-MIG-PRV-PROD-ECS-API-ELB-1502416424.ap-southeast-2.elb.amazonaws.com","active","vpc-07800e48f3c1894dd","ap-southeast-2a;ap-southeast-2b;ap-southeast-2c","application","2025-05-06T10:57:46.643000+00:00"
503095242877,"SolarWinds-Webfarm-nlb","SolarWinds-Webfarm-nlb-0eb920b3f07a21e9.elb.ap-southeast-2.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","network","2022-07-28T07:25:28.091000+00:00"
503095242877,"b2b-farm-nlb","b2b-farm-nlb-18d69659d9bfc846.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2b;ap-southeast-2a","network","2022-09-19T06:27:23.427000+00:00"
503095242877,"iexprd01eex-farm-nlb","iexprd01eex-farm-nlb-1a724f3088bc9a90.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2b;ap-southeast-2a","network","2022-09-19T06:13:30.737000+00:00"
503095242877,"iexuat01legb2b-farm-nlb","iexuat01legb2b-farm-nlb-1fe7c2c05da9d57e.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2c;ap-southeast-2b","network","2022-07-07T09:03:05.555000+00:00"
503095242877,"IBM-ISV-Gateway-MTS-NLB","IBM-ISV-Gateway-MTS-NLB-2b8fad062070498f.elb.ap-southeast-2.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2b;ap-southeast-2a","network","2023-05-16T03:38:43.810000+00:00"
503095242877,"iexprd01mws-farm-nlb","iexprd01mws-farm-nlb-36195e2ad65ce72b.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2b;ap-southeast-2a","network","2022-09-19T06:13:30.783000+00:00"
503095242877,"iexuat01mws-farm-nlb","iexuat01mws-farm-nlb-38d45d9c343f7657.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2b;ap-southeast-2c","network","2022-09-02T06:47:21.404000+00:00"
