LoadBalancer_Name,DNS_Name,State,VPC_ID,Availability_Zones,Type,Date_Created
"webm-uat-backend","webm-uat-backend-086d173b0731959a.elb.ap-southeast-2.amazonaws.com","active","vpc-085929e99d8c63968","ap-southeast-2a;ap-southeast-2b","network","2023-11-24T01:33:16.956000+00:00"
"webm-sit-backend","webm-sit-backend-09ba855771515550.elb.ap-southeast-2.amazonaws.com","active","vpc-085929e99d8c63968","ap-southeast-2a;ap-southeast-2b;ap-southeast-2c","network","2023-12-08T05:19:00.009000+00:00"
"IBM-ISV-Gateway-OrderMTS-DevNLB","IBM-ISV-Gateway-OrderMTS-DevNLB-16e190bc6e1c7f15.elb.ap-southeast-2.amazonaws.com","active","vpc-085929e99d8c63968","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","network","2024-09-16T06:06:48.487000+00:00"
"TF-NP-NLB-2","TF-NP-NLB-2-2d626de96bc87146.elb.ap-southeast-2.amazonaws.com","active","vpc-085929e99d8c63968","ap-southeast-2c;ap-southeast-2a;ap-southeast-2b","network","2025-02-26T03:33:34.987000+00:00"
"IBM-ISV-Gateway-MTS-DevNLB","IBM-ISV-Gateway-MTS-DevNLB-6039d7873b3f9dbb.elb.ap-southeast-2.amazonaws.com","active","vpc-085929e99d8c63968","ap-southeast-2b;ap-southeast-2a;ap-southeast-2c","network","2024-09-16T06:05:43.421000+00:00"
"webm-perf-backend","webm-perf-backend-8236ef21f95beb8d.elb.ap-southeast-2.amazonaws.com","active","vpc-085929e99d8c63968","ap-southeast-2b;ap-southeast-2a","network","2023-12-14T12:06:56.254000+00:00"
"Precom-WebM-UAT","internal-Precom-WebM-UAT-248834327.ap-southeast-2.elb.amazonaws.com","active","vpc-085929e99d8c63968","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","application","2023-12-29T10:41:05.180000+00:00"
"Precom-WebM-PERF","internal-Precom-WebM-PERF-679947650.ap-southeast-2.elb.amazonaws.com","active","vpc-085929e99d8c63968","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","application","2024-01-05T14:11:58.520000+00:00"
"kodak-infuse-nonprod","internal-kodak-infuse-nonprod-1643003081.ap-southeast-2.elb.amazonaws.com","active","vpc-085929e99d8c63968","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","application","2024-02-06T00:21:51.470000+00:00"
