Region,InstanceID,Name,State
ap-southeast-2,i-09849159e62172882,MWSWM09LD01,running
ap-southeast-2,i-0605ddb6bac24a1c2,APIIWM09LD01,running
ap-southeast-2,i-01f81d3ae4bd7119d,REGWM09LD01-- Dont terminate,running
ap-southeast-2,i-09ed8f4023925c410,A2AWM09LD01,running
ap-southeast-2,i-09085a7884bcafefb,DEPWM09LD01,running
ap-southeast-2,i-0edd9ca808258badd,B2BWM09LD01,running
ap-southeast-2,i-0a058a98524dd91d6,APIEWM09LD01 - (D10-MFT)--dont terminate,running
ap-southeast-2,i-0a167a55d8e889ff4,ADSGEAZ1DC01,running
ap-southeast-2,i-01dc43d1cc80382f4,ADSGEAZ1ADCON1,running
ap-southeast-2,i-0871e2329efc08bbb,MFAAZ09WP01,running
ap-southeast-2,i-0f6762dab64288baa,APESM09WP06,running
ap-southeast-2,i-0be5b95be8c9ede1e,WEBSM09WP01,running
ap-southeast-2,i-0d775edd866e5bfaf,APESM09WP05,running
ap-southeast-2,i-0a0a741a90c2436ba,APESM09WP03,running
ap-southeast-2,i-0d7ad11a82112faac,MPESM09WP01,running
ap-southeast-2,i-0295aedf070a6dfae,APESM09WP01,running
ap-southeast-2,i-023b80f0eb4b25588,CSSWM09LQ01,running
ap-southeast-2,i-0507abd1dcb65ffec,APIIWM09LQ01,running
ap-southeast-2,i-0c8c3c42e8c67261e,a2awm09lq01,running
ap-southeast-2,i-0f20a79e84195e8a6,APIEWM09LQ01,running
ap-southeast-2,i-006059c2e4304a15b,MWSWM09LQ01,running
ap-southeast-2,i-08a7ce50ed4024c95,B2BWM09LQ01,running
ap-southeast-2,i-0db6c8766e2aa5ed9,ISPNW09CP01,running
ap-southeast-2,i-010f9904cfd2d3619,WLCNW01CP01,running
ap-southeast-2,i-0ef9b7994b63a6973,A2AWM09LP01,running
ap-southeast-2,i-03ec7b7ed40fa3dcc,TCSWM09LP01,running
ap-southeast-2,i-090cbf99d3596ab2f,REGWM09LP01,running
ap-southeast-2,i-0aaa8677faa7c2820,APIIWM09LP01,running
ap-southeast-2,i-0c4f2ef52be5d3792,B2BWM09LP01,running
ap-southeast-2,i-0ee01963560d2bb54,MWSWM09LP01,running
ap-southeast-2,i-09d26eec52a575c24,UMSWM09LU03,running
ap-southeast-2,i-024efe9e1ae53c10a,APIEWM09LP01,running
ap-southeast-2,i-0a956afc2f31b6b54,BAMWM09LP01,running
ap-southeast-2,i-08a1ac8184652bc03,UMSWM09LP01,running
ap-southeast-2,i-06ccc1b7a8393f057,A2AWM09LU02,running
ap-southeast-2,i-0b842e2e871b341f9,B2BWM09LU02,running
ap-southeast-2,i-04cb88b0ef0345cb5,REGWM09LU02,running
ap-southeast-2,i-0ff04d3d938f95be7,APIIWM09LU02,running
ap-southeast-2,i-045bb0f8dd1db7e6b,TCSWM09LU02,running
ap-southeast-2,i-0d54f1b84dbc1026c,MWSWM09LU02,running
ap-southeast-2,i-04d21b492ed4f699f,UMSWM09LU02,running
ap-southeast-2,i-0fc9a98ae2635728a,APIEWM09LU02,running
ap-southeast-2,i-03955b53ce3a0bf8e,UMSWM09LP03,running
ap-southeast-2,i-04a7a56c2994efd52,ADSGEAZ2DC02,running
ap-southeast-2,i-0f6eee118e08eadb8,ADSGEAZ2ADCON2,running
ap-southeast-2,i-09946de3616322204,MFAAZ09WP02,running
ap-southeast-2,i-079df0f5f20c45d35,APESM09WP04,running
ap-southeast-2,i-0b923836a44ab37b4,WEBSM09WP02,running
ap-southeast-2,i-0db139e77a56cc980,APESM09WP02,running
ap-southeast-2,i-0bc830a427763fe15,ISANW09CP02,running
ap-southeast-2,i-0435ad3c9988d40f4,ISPNW09CP02,running
ap-southeast-2,i-0f180647aa0bf7a8f,A2AWM09LU01,running
ap-southeast-2,i-0f14dac9fe44e4f1d,B2BWM09LU01,running
ap-southeast-2,i-00dc12c240fa7c8cc,BAMWM09LU01,running
ap-southeast-2,i-04597b7fc37cbd30d,UMSWM09LU01,running
ap-southeast-2,i-023090aa1108d75db,REGWM09LU01,running
ap-southeast-2,i-0ad3d726ddb13b20e,UMSWM09LP02,running
ap-southeast-2,i-02574452bea181494,REGWM09LP02,running
ap-southeast-2,i-04a1ce4a446bc944b,APIIWM09LU01,running
ap-southeast-2,i-096cb0a96a5a918fa,A2AWM09LP02,running
ap-southeast-2,i-03875c2d09d098c07,APIIWM09LP02,running
ap-southeast-2,i-0ccb5a97899b76f37,TCSWM09LP02,running
ap-southeast-2,i-0cfbc1b76662087d8,APIEWM09LU01,running
ap-southeast-2,i-04e4571459d7888a3,TCSWM09LU01,running
ap-southeast-2,i-087154bf3f438a307,CCSWM09LU01,running
ap-southeast-2,i-02bb2debf661a92e7,MWSWM09LU01,running
ap-southeast-2,i-0c66a045fdddc3a64,B2BWM09LP02,running
ap-southeast-2,i-012908cba94b4dc53,CCSWM09LP01,running
ap-southeast-2,i-0de734a57c64a4b68,APIEWM09LP02,running
ap-southeast-2,i-08261379be50e21f7,CRMAPAUT001,running
ap-southeast-2,i-026dc2547c2e50241,CRMAPAUP001,running
ap-southeast-2,i-07604001f1c2a2e92,ADFSGP09W01,running
ap-southeast-2,i-033bf1a0ddc4db935,GEDHCP09WP01,running
ap-southeast-2,i-0f49e0fe8e7b63108,MCSIV09WP01,running
ap-southeast-2,i-038490be66c9973cf,ISANW09CP01,running
ap-southeast-2,i-0d0205c819d0faa96,WSCCLAWSWT01(Test),running
ap-southeast-2,i-07647c69543450486,PRMST09LP01,running
ap-southeast-2,i-06e037cbde4797dde,SSHPLAWSLP01,running
ap-southeast-2,i-07b5cd26b933f8686,DBXAPAWSRP02,running
ap-southeast-2,i-02c91eff7b5d46172,SPLHFAWSLT01,running
ap-southeast-2,i-0595a7325b09454ac,IBMADAWSWT01,running
ap-southeast-2,i-0a930953d9902844a,IBMADAWSWP01,running
ap-southeast-2,i-0468868bb482e9133,SPLHFAWSLP01,running
ap-southeast-2,i-00148eaa0ae35031a,IBMGVAWSLP01,running
ap-southeast-2,i-0aee063d4a5a76d2a,LDMSSAWSUP01,running
ap-southeast-2,i-085efaac863c26b61,LDMSSAWSUT01,running
ap-southeast-2,i-034e11bbb8914f546,IBMDBAWSLT01,running
ap-southeast-2,i-00119f4db76a4196d,IBMDBAWSLP01,running
ap-southeast-2,i-02cd86b71648086bf,ACAAPAWSWP01,running
ap-southeast-2,i-041804f55ad659519,SPLDPAWSLP01,running
ap-southeast-2,i-072fcbe7efc662ca6,GEDHCP09WP02,running
ap-southeast-2,i-0c462c57574939fd9,MWSWM09LP02,running
ap-southeast-2,i-0a863d0020c4c0940,WLCNC01CP02,running
ap-southeast-2,i-0c82aa84971eb71ca,DBXAPAWSRP01,running
ap-southeast-2,i-089b20026266c93be,SPLHFAWSLT02,running
ap-southeast-2,i-01ebc087c759e83c8,IBMADAWSWT02,running
ap-southeast-2,i-0165807befb8ddf2e,IBMADAWSWP02,running
ap-southeast-2,i-070aa4a97961f5373,SPLHFAWSLP02,running
ap-southeast-2,i-0c648ecb331333349,IBMGVAWSLT02,running
ap-southeast-2,i-058e5d64f8db85606,IBMGVAWSLP02,running
ap-southeast-2,i-0cd312b0faae6d938,MPESM09WP02,running
ap-southeast-2,i-0bd9ef32ff0a1efb5,IBMDBAWSLP02,running
ap-southeast-2,i-00a0e49311287a940,IBMDBAWSLT02,running
ap-southeast-2,i-007d1d4daff839aff,ACAAPAWSWP02,running
ap-southeast-2,i-014bafeb5cee8a760,IBMGVAWSLT01,running
ap-southeast-2,i-0db9f704af36c6684,ARMAPAWSLP01,running
ap-southeast-2,i-099cf09c629da8264,RICAPAWSLP01,running
ap-southeast-2,i-0aa33facf1196be6b,RICAPAWSWP01,running
ap-southeast-2,i-053d92d04db0d4581,PRIFPAUP020,running
ap-southeast-2,i-068e06dab482fd5d7,CCUREAWSWP01,running
ap-southeast-2,i-013b17adcca9588f0,CCRAPAWSWP02,running
ap-southeast-2,i-0b224616aabfd7023,prifpaup022,running
ap-southeast-2,i-087e9e42b5b6d6b19,RICAPAWSLP02,running
ap-southeast-2,i-0fe78f2df639dbcfb,FJSAPAWSWP01,running
ap-southeast-2,i-0931329c433c27a96,DONT-TERMINATE-CISWIN22AMIL1,running
