account_id,permission_set
010474059410,AWSReadOnlyAccess
027057327921,AWSReadOnlyAccess
143237116399,AWSReadOnlyAccess
155338202634,AWSReadOnlyAccess
182474764393,AWSReadOnlyAccess
502966642495,AWSReadOnlyAccess
503095242877,AWSReadOnlyAccess
742069625158,AWSReadOnlyAccess
789893824481,AWSReadOnlyAccess
958396859964,AWSReadOnlyAccess
968130737873,AWSReadOnlyAccess
